训练样本索引,标签ID,类别名称
3245,1,comp.graphics
3246,0,alt.atheism
3247,18,talk.politics.misc
3248,16,talk.politics.guns
3249,9,rec.sport.baseball
3250,17,talk.politics.mideast
3251,12,sci.electronics
3252,0,alt.atheism
3253,16,talk.politics.guns
3254,8,rec.motorcycles
3255,16,talk.politics.guns
3256,14,sci.space
3257,18,talk.politics.misc
3258,2,comp.os.ms-windows.misc
3259,13,sci.med
3260,11,sci.crypt
3261,8,rec.motorcycles
3262,8,rec.motorcycles
3263,3,comp.sys.ibm.pc.hardware
3264,0,alt.atheism
3265,10,rec.sport.hockey
3266,1,comp.graphics
3267,14,sci.space
3268,0,alt.atheism
3269,18,talk.politics.misc
3270,1,comp.graphics
3271,14,sci.space
3272,17,talk.politics.mideast
3273,19,talk.religion.misc
3274,16,talk.politics.guns
3275,4,comp.sys.mac.hardware
3276,17,talk.politics.mideast
3277,12,sci.electronics
3278,7,rec.autos
3279,19,talk.religion.misc
3280,1,comp.graphics
3281,1,comp.graphics
3282,8,rec.motorcycles
3283,10,rec.sport.hockey
3284,5,comp.windows.x
3285,17,talk.politics.mideast
3286,1,comp.graphics
3287,0,alt.atheism
3288,15,soc.religion.christian
3289,19,talk.religion.misc
3290,0,alt.atheism
3291,6,misc.forsale
3292,16,talk.politics.guns
3293,8,rec.motorcycles
3294,15,soc.religion.christian
3295,15,soc.religion.christian
3296,5,comp.windows.x
3297,5,comp.windows.x
3298,6,misc.forsale
3299,3,comp.sys.ibm.pc.hardware
3300,1,comp.graphics
3301,13,sci.med
3302,2,comp.os.ms-windows.misc
3303,10,rec.sport.hockey
3304,14,sci.space
3305,11,sci.crypt
3306,0,alt.atheism
3307,13,sci.med
3308,10,rec.sport.hockey
3309,1,comp.graphics
3310,2,comp.os.ms-windows.misc
3311,10,rec.sport.hockey
3312,7,rec.autos
3313,18,talk.politics.misc
3314,6,misc.forsale
3315,15,soc.religion.christian
3316,12,sci.electronics
3317,5,comp.windows.x
3318,8,rec.motorcycles
3319,14,sci.space
3320,10,rec.sport.hockey
3321,15,soc.religion.christian
3322,15,soc.religion.christian
3323,19,talk.religion.misc
3324,2,comp.os.ms-windows.misc
3325,0,alt.atheism
3326,7,rec.autos
3327,9,rec.sport.baseball
3328,9,rec.sport.baseball
3329,11,sci.crypt
3330,18,talk.politics.misc
3331,19,talk.religion.misc
3332,8,rec.motorcycles
3333,1,comp.graphics
3334,19,talk.religion.misc
3335,12,sci.electronics
3336,8,rec.motorcycles
3337,4,comp.sys.mac.hardware
3338,11,sci.crypt
3339,19,talk.religion.misc
3340,4,comp.sys.mac.hardware
3341,14,sci.space
3342,15,soc.religion.christian
3343,8,rec.motorcycles
3344,17,talk.politics.mideast
3345,8,rec.motorcycles
3346,7,rec.autos
3347,3,comp.sys.ibm.pc.hardware
3348,3,comp.sys.ibm.pc.hardware
3349,6,misc.forsale
3350,1,comp.graphics
3351,6,misc.forsale
3352,12,sci.electronics
3353,8,rec.motorcycles
3354,3,comp.sys.ibm.pc.hardware
3355,18,talk.politics.misc
3356,6,misc.forsale
3357,8,rec.motorcycles
3358,8,rec.motorcycles
3359,15,soc.religion.christian
3360,16,talk.politics.guns
3361,3,comp.sys.ibm.pc.hardware
3362,9,rec.sport.baseball
3363,8,rec.motorcycles
3364,5,comp.windows.x
3365,15,soc.religion.christian
3366,15,soc.religion.christian
3367,17,talk.politics.mideast
3368,5,comp.windows.x
3369,16,talk.politics.guns
3370,11,sci.crypt
3371,7,rec.autos
3372,8,rec.motorcycles
3373,2,comp.os.ms-windows.misc
3374,3,comp.sys.ibm.pc.hardware
3375,14,sci.space
3376,16,talk.politics.guns
3377,4,comp.sys.mac.hardware
3378,13,sci.med
3379,12,sci.electronics
3380,19,talk.religion.misc
3381,1,comp.graphics
3382,18,talk.politics.misc
3383,9,rec.sport.baseball
3384,13,sci.med
3385,2,comp.os.ms-windows.misc
3386,6,misc.forsale
3387,6,misc.forsale
3388,17,talk.politics.mideast
3389,8,rec.motorcycles
3390,13,sci.med
3391,10,rec.sport.hockey
3392,2,comp.os.ms-windows.misc
3393,0,alt.atheism
3394,8,rec.motorcycles
3395,19,talk.religion.misc
3396,5,comp.windows.x
3397,9,rec.sport.baseball
3398,2,comp.os.ms-windows.misc
3399,0,alt.atheism
3400,11,sci.crypt
3401,7,rec.autos
3402,15,soc.religion.christian
3403,1,comp.graphics
3404,13,sci.med
3405,16,talk.politics.guns
3406,10,rec.sport.hockey
3407,1,comp.graphics
3408,13,sci.med
3409,18,talk.politics.misc
3410,14,sci.space
3411,19,talk.religion.misc
3412,14,sci.space
3413,2,comp.os.ms-windows.misc
3414,19,talk.religion.misc
3415,5,comp.windows.x
3416,16,talk.politics.guns
3417,10,rec.sport.hockey
3418,10,rec.sport.hockey
3419,10,rec.sport.hockey
3420,15,soc.religion.christian
3421,10,rec.sport.hockey
3422,17,talk.politics.mideast
3423,9,rec.sport.baseball
3424,16,talk.politics.guns
3425,1,comp.graphics
3426,7,rec.autos
3427,9,rec.sport.baseball
3428,13,sci.med
3429,2,comp.os.ms-windows.misc
3430,7,rec.autos
3431,18,talk.politics.misc
3432,17,talk.politics.mideast
3433,9,rec.sport.baseball
3434,10,rec.sport.hockey
3435,10,rec.sport.hockey
3436,10,rec.sport.hockey
3437,11,sci.crypt
3438,19,talk.religion.misc
3439,17,talk.politics.mideast
3440,12,sci.electronics
3441,9,rec.sport.baseball
3442,13,sci.med
3443,16,talk.politics.guns
3444,12,sci.electronics
3445,19,talk.religion.misc
3446,4,comp.sys.mac.hardware
3447,18,talk.politics.misc
3448,17,talk.politics.mideast
3449,11,sci.crypt
3450,3,comp.sys.ibm.pc.hardware
3451,18,talk.politics.misc
3452,11,sci.crypt
3453,19,talk.religion.misc
3454,8,rec.motorcycles
3455,11,sci.crypt
3456,1,comp.graphics
3457,1,comp.graphics
3458,5,comp.windows.x
3459,9,rec.sport.baseball
3460,18,talk.politics.misc
3461,13,sci.med
3462,15,soc.religion.christian
3463,7,rec.autos
3464,6,misc.forsale
3465,18,talk.politics.misc
3466,4,comp.sys.mac.hardware
3467,13,sci.med
3468,2,comp.os.ms-windows.misc
3469,10,rec.sport.hockey
3470,18,talk.politics.misc
3471,15,soc.religion.christian
3472,12,sci.electronics
3473,15,soc.religion.christian
3474,2,comp.os.ms-windows.misc
3475,16,talk.politics.guns
3476,3,comp.sys.ibm.pc.hardware
3477,17,talk.politics.mideast
3478,6,misc.forsale
3479,16,talk.politics.guns
3480,16,talk.politics.guns
3481,8,rec.motorcycles
3482,13,sci.med
3483,19,talk.religion.misc
3484,1,comp.graphics
3485,19,talk.religion.misc
3486,10,rec.sport.hockey
3487,16,talk.politics.guns
3488,3,comp.sys.ibm.pc.hardware
3489,6,misc.forsale
3490,9,rec.sport.baseball
3491,17,talk.politics.mideast
3492,14,sci.space
3493,17,talk.politics.mideast
3494,4,comp.sys.mac.hardware
3495,18,talk.politics.misc
3496,16,talk.politics.guns
3497,16,talk.politics.guns
3498,3,comp.sys.ibm.pc.hardware
3499,6,misc.forsale
3500,6,misc.forsale
3501,0,alt.atheism
3502,10,rec.sport.hockey
3503,3,comp.sys.ibm.pc.hardware
3504,18,talk.politics.misc
3505,5,comp.windows.x
3506,13,sci.med
3507,3,comp.sys.ibm.pc.hardware
3508,2,comp.os.ms-windows.misc
3509,6,misc.forsale
3510,12,sci.electronics
3511,16,talk.politics.guns
3512,10,rec.sport.hockey
3513,4,comp.sys.mac.hardware
3514,12,sci.electronics
3515,3,comp.sys.ibm.pc.hardware
3516,4,comp.sys.mac.hardware
3517,8,rec.motorcycles
3518,3,comp.sys.ibm.pc.hardware
3519,12,sci.electronics
3520,19,talk.religion.misc
3521,0,alt.atheism
3522,11,sci.crypt
3523,6,misc.forsale
3524,16,talk.politics.guns
3525,4,comp.sys.mac.hardware
3526,15,soc.religion.christian
3527,3,comp.sys.ibm.pc.hardware
3528,11,sci.crypt
3529,18,talk.politics.misc
3530,2,comp.os.ms-windows.misc
3531,6,misc.forsale
3532,12,sci.electronics
3533,15,soc.religion.christian
3534,12,sci.electronics
3535,15,soc.religion.christian
3536,10,rec.sport.hockey
3537,12,sci.electronics
3538,18,talk.politics.misc
3539,15,soc.religion.christian
3540,2,comp.os.ms-windows.misc
3541,11,sci.crypt
3542,15,soc.religion.christian
3543,12,sci.electronics
3544,9,rec.sport.baseball
3545,5,comp.windows.x
3546,6,misc.forsale
3547,17,talk.politics.mideast
3548,12,sci.electronics
3549,9,rec.sport.baseball
3550,3,comp.sys.ibm.pc.hardware
3551,14,sci.space
3552,17,talk.politics.mideast
3553,5,comp.windows.x
3554,11,sci.crypt
3555,1,comp.graphics
3556,11,sci.crypt
3557,19,talk.religion.misc
3558,2,comp.os.ms-windows.misc
3559,6,misc.forsale
3560,1,comp.graphics
3561,14,sci.space
3562,5,comp.windows.x
3563,1,comp.graphics
3564,4,comp.sys.mac.hardware
3565,9,rec.sport.baseball
3566,18,talk.politics.misc
3567,17,talk.politics.mideast
3568,11,sci.crypt
3569,4,comp.sys.mac.hardware
3570,18,talk.politics.misc
3571,12,sci.electronics
3572,11,sci.crypt
3573,17,talk.politics.mideast
3574,5,comp.windows.x
3575,2,comp.os.ms-windows.misc
3576,1,comp.graphics
3577,12,sci.electronics
3578,6,misc.forsale
3579,5,comp.windows.x
3580,8,rec.motorcycles
3581,12,sci.electronics
3582,14,sci.space
3583,16,talk.politics.guns
3584,12,sci.electronics
3585,8,rec.motorcycles
3586,10,rec.sport.hockey
3587,12,sci.electronics
3588,18,talk.politics.misc
3589,1,comp.graphics
3590,3,comp.sys.ibm.pc.hardware
3591,9,rec.sport.baseball
3592,4,comp.sys.mac.hardware
3593,6,misc.forsale
3594,6,misc.forsale
3595,14,sci.space
3596,6,misc.forsale
3597,0,alt.atheism
3598,5,comp.windows.x
3599,1,comp.graphics
3600,8,rec.motorcycles
3601,14,sci.space
3602,5,comp.windows.x
3603,15,soc.religion.christian
3604,10,rec.sport.hockey
3605,4,comp.sys.mac.hardware
3606,6,misc.forsale
3607,19,talk.religion.misc
3608,15,soc.religion.christian
3609,14,sci.space
3610,10,rec.sport.hockey
3611,0,alt.atheism
3612,2,comp.os.ms-windows.misc
3613,10,rec.sport.hockey
3614,6,misc.forsale
3615,14,sci.space
3616,5,comp.windows.x
3617,9,rec.sport.baseball
3618,12,sci.electronics
3619,4,comp.sys.mac.hardware
3620,10,rec.sport.hockey
3621,1,comp.graphics
3622,10,rec.sport.hockey
3623,7,rec.autos
3624,5,comp.windows.x
3625,5,comp.windows.x
3626,11,sci.crypt
3627,17,talk.politics.mideast
3628,4,comp.sys.mac.hardware
3629,11,sci.crypt
3630,4,comp.sys.mac.hardware
3631,10,rec.sport.hockey
3632,4,comp.sys.mac.hardware
3633,17,talk.politics.mideast
3634,2,comp.os.ms-windows.misc
3635,0,alt.atheism
3636,16,talk.politics.guns
3637,3,comp.sys.ibm.pc.hardware
3638,19,talk.religion.misc
3639,4,comp.sys.mac.hardware
3640,12,sci.electronics
3641,12,sci.electronics
3642,2,comp.os.ms-windows.misc
3643,16,talk.politics.guns
3644,4,comp.sys.mac.hardware
3645,4,comp.sys.mac.hardware
3646,17,talk.politics.mideast
3647,0,alt.atheism
3648,16,talk.politics.guns
3649,19,talk.religion.misc
3650,19,talk.religion.misc
3651,4,comp.sys.mac.hardware
3652,2,comp.os.ms-windows.misc
3653,0,alt.atheism
3654,11,sci.crypt
3655,12,sci.electronics
3656,16,talk.politics.guns
3657,11,sci.crypt
3658,3,comp.sys.ibm.pc.hardware
3659,7,rec.autos
3660,15,soc.religion.christian
3661,4,comp.sys.mac.hardware
3662,0,alt.atheism
3663,8,rec.motorcycles
3664,19,talk.religion.misc
3665,11,sci.crypt
3666,14,sci.space
3667,19,talk.religion.misc
3668,19,talk.religion.misc
3669,11,sci.crypt
3670,8,rec.motorcycles
3671,5,comp.windows.x
3672,7,rec.autos
3673,18,talk.politics.misc
3674,6,misc.forsale
3675,13,sci.med
3676,12,sci.electronics
3677,14,sci.space
3678,13,sci.med
3679,7,rec.autos
3680,14,sci.space
3681,5,comp.windows.x
3682,4,comp.sys.mac.hardware
3683,16,talk.politics.guns
3684,7,rec.autos
3685,13,sci.med
3686,5,comp.windows.x
3687,15,soc.religion.christian
3688,10,rec.sport.hockey
3689,6,misc.forsale
3690,14,sci.space
3691,13,sci.med
3692,11,sci.crypt
3693,14,sci.space
3694,4,comp.sys.mac.hardware
3695,5,comp.windows.x
3696,3,comp.sys.ibm.pc.hardware
3697,4,comp.sys.mac.hardware
3698,16,talk.politics.guns
3699,10,rec.sport.hockey
3700,1,comp.graphics
3701,5,comp.windows.x
3702,0,alt.atheism
3703,17,talk.politics.mideast
3704,0,alt.atheism
3705,14,sci.space
3706,0,alt.atheism
3707,15,soc.religion.christian
3708,0,alt.atheism
3709,8,rec.motorcycles
3710,6,misc.forsale
3711,7,rec.autos
3712,2,comp.os.ms-windows.misc
3713,16,talk.politics.guns
3714,7,rec.autos
3715,10,rec.sport.hockey
3716,3,comp.sys.ibm.pc.hardware
3717,10,rec.sport.hockey
3718,19,talk.religion.misc
3719,19,talk.religion.misc
3720,3,comp.sys.ibm.pc.hardware
3721,11,sci.crypt
3722,18,talk.politics.misc
3723,11,sci.crypt
3724,18,talk.politics.misc
3725,13,sci.med
3726,11,sci.crypt
3727,14,sci.space
3728,6,misc.forsale
3729,10,rec.sport.hockey
3730,17,talk.politics.mideast
3731,13,sci.med
3732,12,sci.electronics
3733,0,alt.atheism
3734,8,rec.motorcycles
3735,9,rec.sport.baseball
3736,14,sci.space
3737,18,talk.politics.misc
3738,2,comp.os.ms-windows.misc
3739,9,rec.sport.baseball
3740,1,comp.graphics
3741,1,comp.graphics
3742,9,rec.sport.baseball
3743,9,rec.sport.baseball
3744,14,sci.space
3745,18,talk.politics.misc
3746,10,rec.sport.hockey
3747,0,alt.atheism
3748,18,talk.politics.misc
3749,13,sci.med
3750,6,misc.forsale
3751,0,alt.atheism
3752,7,rec.autos
3753,13,sci.med
3754,5,comp.windows.x
3755,16,talk.politics.guns
3756,11,sci.crypt
3757,1,comp.graphics
3758,8,rec.motorcycles
3759,0,alt.atheism
3760,9,rec.sport.baseball
3761,10,rec.sport.hockey
3762,1,comp.graphics
3763,18,talk.politics.misc
3764,19,talk.religion.misc
3765,12,sci.electronics
3766,3,comp.sys.ibm.pc.hardware
3767,7,rec.autos
3768,18,talk.politics.misc
3769,5,comp.windows.x
3770,7,rec.autos
3771,15,soc.religion.christian
3772,16,talk.politics.guns
3773,17,talk.politics.mideast
3774,3,comp.sys.ibm.pc.hardware
3775,10,rec.sport.hockey
3776,6,misc.forsale
3777,11,sci.crypt
3778,0,alt.atheism
3779,16,talk.politics.guns
3780,6,misc.forsale
3781,3,comp.sys.ibm.pc.hardware
3782,19,talk.religion.misc
3783,5,comp.windows.x
3784,18,talk.politics.misc
3785,3,comp.sys.ibm.pc.hardware
3786,9,rec.sport.baseball
3787,14,sci.space
3788,6,misc.forsale
3789,13,sci.med
3790,6,misc.forsale
3791,17,talk.politics.mideast
3792,10,rec.sport.hockey
3793,17,talk.politics.mideast
3794,2,comp.os.ms-windows.misc
3795,12,sci.electronics
3796,19,talk.religion.misc
3797,6,misc.forsale
3798,3,comp.sys.ibm.pc.hardware
3799,0,alt.atheism
3800,6,misc.forsale
3801,3,comp.sys.ibm.pc.hardware
3802,15,soc.religion.christian
3803,16,talk.politics.guns
3804,12,sci.electronics
3805,5,comp.windows.x
3806,18,talk.politics.misc
3807,10,rec.sport.hockey
3808,10,rec.sport.hockey
3809,17,talk.politics.mideast
3810,9,rec.sport.baseball
3811,0,alt.atheism
3812,8,rec.motorcycles
3813,5,comp.windows.x
3814,11,sci.crypt
3815,6,misc.forsale
3816,14,sci.space
3817,6,misc.forsale
3818,4,comp.sys.mac.hardware
3819,4,comp.sys.mac.hardware
3820,10,rec.sport.hockey
3821,12,sci.electronics
3822,16,talk.politics.guns
3823,14,sci.space
3824,3,comp.sys.ibm.pc.hardware
3825,18,talk.politics.misc
3826,6,misc.forsale
3827,17,talk.politics.mideast
3828,0,alt.atheism
3829,4,comp.sys.mac.hardware
3830,13,sci.med
3831,1,comp.graphics
3832,16,talk.politics.guns
3833,6,misc.forsale
3834,1,comp.graphics
3835,10,rec.sport.hockey
3836,4,comp.sys.mac.hardware
3837,18,talk.politics.misc
3838,4,comp.sys.mac.hardware
3839,2,comp.os.ms-windows.misc
3840,1,comp.graphics
3841,7,rec.autos
3842,6,misc.forsale
3843,6,misc.forsale
3844,3,comp.sys.ibm.pc.hardware
3845,0,alt.atheism
3846,1,comp.graphics
3847,5,comp.windows.x
3848,4,comp.sys.mac.hardware
3849,8,rec.motorcycles
3850,11,sci.crypt
3851,7,rec.autos
3852,19,talk.religion.misc
3853,14,sci.space
3854,15,soc.religion.christian
3855,17,talk.politics.mideast
3856,11,sci.crypt
3857,11,sci.crypt
3858,5,comp.windows.x
3859,0,alt.atheism
3860,19,talk.religion.misc
3861,3,comp.sys.ibm.pc.hardware
3862,5,comp.windows.x
3863,19,talk.religion.misc
3864,4,comp.sys.mac.hardware
3865,7,rec.autos
3866,8,rec.motorcycles
3867,0,alt.atheism
3868,14,sci.space
3869,1,comp.graphics
3870,11,sci.crypt
3871,6,misc.forsale
3872,16,talk.politics.guns
3873,6,misc.forsale
3874,12,sci.electronics
3875,16,talk.politics.guns
3876,13,sci.med
3877,15,soc.religion.christian
3878,18,talk.politics.misc
3879,16,talk.politics.guns
3880,5,comp.windows.x
3881,13,sci.med
3882,7,rec.autos
3883,18,talk.politics.misc
3884,4,comp.sys.mac.hardware
3885,0,alt.atheism
3886,14,sci.space
3887,1,comp.graphics
3888,0,alt.atheism
3889,18,talk.politics.misc
3890,0,alt.atheism
3891,12,sci.electronics
3892,9,rec.sport.baseball
3893,3,comp.sys.ibm.pc.hardware
3894,0,alt.atheism
3895,18,talk.politics.misc
3896,13,sci.med
3897,18,talk.politics.misc
3898,15,soc.religion.christian
3899,12,sci.electronics
3900,5,comp.windows.x
3901,1,comp.graphics
3902,12,sci.electronics
3903,1,comp.graphics
3904,6,misc.forsale
3905,17,talk.politics.mideast
3906,16,talk.politics.guns
3907,4,comp.sys.mac.hardware
3908,0,alt.atheism
3909,10,rec.sport.hockey
3910,0,alt.atheism
3911,2,comp.os.ms-windows.misc
3912,7,rec.autos
3913,6,misc.forsale
3914,12,sci.electronics
3915,10,rec.sport.hockey
3916,16,talk.politics.guns
3917,15,soc.religion.christian
3918,12,sci.electronics
3919,14,sci.space
3920,3,comp.sys.ibm.pc.hardware
3921,11,sci.crypt
3922,15,soc.religion.christian
3923,14,sci.space
3924,4,comp.sys.mac.hardware
3925,10,rec.sport.hockey
3926,13,sci.med
3927,5,comp.windows.x
3928,2,comp.os.ms-windows.misc
3929,18,talk.politics.misc
3930,10,rec.sport.hockey
3931,6,misc.forsale
3932,14,sci.space
3933,12,sci.electronics
3934,6,misc.forsale
3935,16,talk.politics.guns
3936,6,misc.forsale
3937,19,talk.religion.misc
3938,7,rec.autos
3939,16,talk.politics.guns
3940,0,alt.atheism
3941,10,rec.sport.hockey
3942,7,rec.autos
3943,11,sci.crypt
3944,8,rec.motorcycles
3945,17,talk.politics.mideast
3946,4,comp.sys.mac.hardware
3947,3,comp.sys.ibm.pc.hardware
3948,13,sci.med
3949,2,comp.os.ms-windows.misc
3950,12,sci.electronics
3951,18,talk.politics.misc
3952,4,comp.sys.mac.hardware
3953,17,talk.politics.mideast
3954,15,soc.religion.christian
3955,8,rec.motorcycles
3956,6,misc.forsale
3957,8,rec.motorcycles
3958,7,rec.autos
3959,16,talk.politics.guns
3960,13,sci.med
3961,7,rec.autos
3962,6,misc.forsale
3963,8,rec.motorcycles
3964,13,sci.med
3965,18,talk.politics.misc
3966,13,sci.med
3967,12,sci.electronics
3968,12,sci.electronics
3969,11,sci.crypt
3970,17,talk.politics.mideast
3971,17,talk.politics.mideast
3972,7,rec.autos
3973,0,alt.atheism
3974,18,talk.politics.misc
3975,16,talk.politics.guns
3976,6,misc.forsale
3977,18,talk.politics.misc
3978,4,comp.sys.mac.hardware
3979,7,rec.autos
3980,3,comp.sys.ibm.pc.hardware
3981,1,comp.graphics
3982,11,sci.crypt
3983,8,rec.motorcycles
3984,3,comp.sys.ibm.pc.hardware
3985,7,rec.autos
3986,11,sci.crypt
3987,17,talk.politics.mideast
3988,7,rec.autos
3989,19,talk.religion.misc
3990,17,talk.politics.mideast
3991,11,sci.crypt
3992,8,rec.motorcycles
3993,9,rec.sport.baseball
3994,7,rec.autos
3995,19,talk.religion.misc
3996,5,comp.windows.x
3997,17,talk.politics.mideast
3998,12,sci.electronics
3999,8,rec.motorcycles
4000,0,alt.atheism
4001,9,rec.sport.baseball
4002,3,comp.sys.ibm.pc.hardware
4003,12,sci.electronics
4004,15,soc.religion.christian
4005,17,talk.politics.mideast
4006,6,misc.forsale
4007,4,comp.sys.mac.hardware
4008,11,sci.crypt
4009,12,sci.electronics
4010,19,talk.religion.misc
4011,3,comp.sys.ibm.pc.hardware
4012,15,soc.religion.christian
4013,5,comp.windows.x
4014,15,soc.religion.christian
4015,3,comp.sys.ibm.pc.hardware
4016,4,comp.sys.mac.hardware
4017,19,talk.religion.misc
4018,12,sci.electronics
4019,6,misc.forsale
4020,10,rec.sport.hockey
4021,1,comp.graphics
4022,0,alt.atheism
4023,12,sci.electronics
4024,1,comp.graphics
4025,19,talk.religion.misc
4026,4,comp.sys.mac.hardware
4027,13,sci.med
4028,0,alt.atheism
4029,16,talk.politics.guns
4030,12,sci.electronics
4031,5,comp.windows.x
4032,14,sci.space
4033,11,sci.crypt
4034,5,comp.windows.x
4035,16,talk.politics.guns
4036,15,soc.religion.christian
4037,1,comp.graphics
4038,16,talk.politics.guns
4039,13,sci.med
4040,10,rec.sport.hockey
4041,17,talk.politics.mideast
4042,9,rec.sport.baseball
4043,5,comp.windows.x
4044,7,rec.autos
4045,2,comp.os.ms-windows.misc
4046,3,comp.sys.ibm.pc.hardware
4047,1,comp.graphics
4048,5,comp.windows.x
4049,15,soc.religion.christian
4050,17,talk.politics.mideast
4051,9,rec.sport.baseball
4052,13,sci.med
4053,15,soc.religion.christian
4054,12,sci.electronics
4055,14,sci.space
4056,0,alt.atheism
4057,18,talk.politics.misc
4058,0,alt.atheism
4059,1,comp.graphics
4060,6,misc.forsale
4061,14,sci.space
4062,2,comp.os.ms-windows.misc
4063,9,rec.sport.baseball
4064,7,rec.autos
4065,1,comp.graphics
4066,3,comp.sys.ibm.pc.hardware
4067,11,sci.crypt
4068,13,sci.med
4069,5,comp.windows.x
4070,15,soc.religion.christian
4071,1,comp.graphics
4072,19,talk.religion.misc
4073,9,rec.sport.baseball
4074,5,comp.windows.x
4075,5,comp.windows.x
4076,6,misc.forsale
4077,1,comp.graphics
4078,0,alt.atheism
4079,2,comp.os.ms-windows.misc
4080,4,comp.sys.mac.hardware
4081,13,sci.med
4082,4,comp.sys.mac.hardware
4083,0,alt.atheism
4084,11,sci.crypt
4085,19,talk.religion.misc
4086,12,sci.electronics
4087,0,alt.atheism
4088,1,comp.graphics
4089,0,alt.atheism
4090,4,comp.sys.mac.hardware
4091,17,talk.politics.mideast
4092,15,soc.religion.christian
4093,4,comp.sys.mac.hardware
4094,4,comp.sys.mac.hardware
4095,5,comp.windows.x
4096,3,comp.sys.ibm.pc.hardware
4097,9,rec.sport.baseball
4098,15,soc.religion.christian
4099,0,alt.atheism
4100,16,talk.politics.guns
4101,10,rec.sport.hockey
4102,7,rec.autos
4103,18,talk.politics.misc
4104,2,comp.os.ms-windows.misc
4105,4,comp.sys.mac.hardware
4106,3,comp.sys.ibm.pc.hardware
4107,16,talk.politics.guns
4108,13,sci.med
4109,9,rec.sport.baseball
4110,1,comp.graphics
4111,1,comp.graphics
4112,3,comp.sys.ibm.pc.hardware
4113,14,sci.space
4114,19,talk.religion.misc
4115,13,sci.med
4116,15,soc.religion.christian
4117,14,sci.space
4118,4,comp.sys.mac.hardware
4119,16,talk.politics.guns
4120,11,sci.crypt
4121,14,sci.space
4122,3,comp.sys.ibm.pc.hardware
4123,9,rec.sport.baseball
4124,3,comp.sys.ibm.pc.hardware
4125,12,sci.electronics
4126,4,comp.sys.mac.hardware
4127,6,misc.forsale
4128,11,sci.crypt
4129,1,comp.graphics
4130,12,sci.electronics
4131,8,rec.motorcycles
4132,3,comp.sys.ibm.pc.hardware
4133,13,sci.med
4134,15,soc.religion.christian
4135,19,talk.religion.misc
4136,8,rec.motorcycles
4137,6,misc.forsale
4138,13,sci.med
4139,4,comp.sys.mac.hardware
4140,12,sci.electronics
4141,0,alt.atheism
4142,10,rec.sport.hockey
4143,5,comp.windows.x
4144,19,talk.religion.misc
4145,9,rec.sport.baseball
4146,3,comp.sys.ibm.pc.hardware
4147,13,sci.med
4148,10,rec.sport.hockey
4149,19,talk.religion.misc
4150,4,comp.sys.mac.hardware
4151,0,alt.atheism
4152,6,misc.forsale
4153,13,sci.med
4154,8,rec.motorcycles
4155,11,sci.crypt
4156,3,comp.sys.ibm.pc.hardware
4157,2,comp.os.ms-windows.misc
4158,10,rec.sport.hockey
4159,19,talk.religion.misc
4160,5,comp.windows.x
4161,15,soc.religion.christian
4162,0,alt.atheism
4163,9,rec.sport.baseball
4164,14,sci.space
4165,18,talk.politics.misc
4166,14,sci.space
4167,17,talk.politics.mideast
4168,4,comp.sys.mac.hardware
4169,17,talk.politics.mideast
4170,15,soc.religion.christian
4171,12,sci.electronics
4172,19,talk.religion.misc
4173,3,comp.sys.ibm.pc.hardware
4174,14,sci.space
4175,11,sci.crypt
4176,13,sci.med
4177,12,sci.electronics
4178,17,talk.politics.mideast
4179,17,talk.politics.mideast
4180,13,sci.med
4181,4,comp.sys.mac.hardware
4182,10,rec.sport.hockey
4183,6,misc.forsale
4184,19,talk.religion.misc
4185,13,sci.med
4186,8,rec.motorcycles
4187,13,sci.med
4188,4,comp.sys.mac.hardware
4189,0,alt.atheism
4190,17,talk.politics.mideast
4191,13,sci.med
4192,9,rec.sport.baseball
4193,10,rec.sport.hockey
4194,17,talk.politics.mideast
4195,11,sci.crypt
4196,13,sci.med
4197,17,talk.politics.mideast
4198,2,comp.os.ms-windows.misc
4199,16,talk.politics.guns
4200,13,sci.med
4201,13,sci.med
4202,10,rec.sport.hockey
4203,8,rec.motorcycles
4204,12,sci.electronics
4205,15,soc.religion.christian
4206,12,sci.electronics
4207,12,sci.electronics
4208,15,soc.religion.christian
4209,17,talk.politics.mideast
4210,4,comp.sys.mac.hardware
4211,4,comp.sys.mac.hardware
4212,18,talk.politics.misc
4213,0,alt.atheism
4214,9,rec.sport.baseball
4215,10,rec.sport.hockey
4216,2,comp.os.ms-windows.misc
4217,15,soc.religion.christian
4218,1,comp.graphics
4219,12,sci.electronics
4220,2,comp.os.ms-windows.misc
4221,12,sci.electronics
4222,4,comp.sys.mac.hardware
4223,11,sci.crypt
4224,4,comp.sys.mac.hardware
4225,5,comp.windows.x
4226,4,comp.sys.mac.hardware
4227,14,sci.space
4228,18,talk.politics.misc
4229,5,comp.windows.x
4230,18,talk.politics.misc
4231,12,sci.electronics
4232,10,rec.sport.hockey
4233,9,rec.sport.baseball
4234,12,sci.electronics
4235,6,misc.forsale
4236,10,rec.sport.hockey
4237,3,comp.sys.ibm.pc.hardware
4238,18,talk.politics.misc
4239,10,rec.sport.hockey
4240,0,alt.atheism
4241,6,misc.forsale
4242,15,soc.religion.christian
4243,18,talk.politics.misc
4244,11,sci.crypt
4245,1,comp.graphics
4246,15,soc.religion.christian
4247,19,talk.religion.misc
4248,9,rec.sport.baseball
4249,17,talk.politics.mideast
4250,10,rec.sport.hockey
4251,9,rec.sport.baseball
